Área geográfica,estado_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01 Aguascalientes,Aguascalientes,259,266,256,256,284,237,255,271,232,264,213,220,193,200
02 Baja California,Baja California,809,824,752,670,577,601,564,555,526,528,509,446,477,421
03 Baja California Sur,Baja California Sur,135,122,134,139,135,124,115,149,134,115,120,117,112,82
04 Campeche,Campeche,178,237,268,247,200,267,224,200,179,204,148,151,157,153
05 Coahuila de Zaragoza,Coahuila,549,529,746,706,834,739,764,707,637,641,534,570,540,552
06 Colima,Colima,128,155,132,109,126,115,121,107,101,80,98,85,94,98
07 Chiapas,Chiapas,1326,1411,1522,1390,1479,1515,1507,1643,1382,1465,1057,1341,1359,1316
08 Chihuahua,Chihuahua,924,996,916,1027,944,947,858,899,790,843,730,742,695,706
09 Ciudad de México,Distrito Federal,2046,1967,1869,1767,1555,1580,1425,1386,1226,1181,1105,930,1020,1014
10 Durango,Durango,428,519,477,486,486,496,454,449,337,376,285,371,356,326
11 Guanajuato,Guanajuato,1524,1404,1388,1321,1372,1247,1218,1255,1223,1132,984,858,940,883
12 Guerrero,Guerrero,691,793,820,865,790,715,707,634,627,679,416,519,557,510
13 Hidalgo,Hidalgo,603,632,652,614,590,591,524,510,479,473,342,419,446,428
14 Jalisco,Jalisco,1795,1927,1749,1633,1663,1552,1531,1644,1457,1412,1322,1265,1218,1242
15 México,Mexico,4866,4811,4616,4476,4091,3862,3666,3776,3398,3169,2780,2489,2510,2523
16 Michoacán de Ocampo,Michoacan,997,1077,1076,913,685,697,657,799,783,853,579,773,786,688
17 Morelos,Morelos,386,418,372,349,351,315,343,352,296,271,234,246,256,238
18 Nayarit,Nayarit,167,173,234,225,231,221,231,202,181,196,137,167,189,197
19 Nuevo León,Nuevo Leon,861,694,843,864,926,924,933,951,987,920,744,784,801,817
20 Oaxaca,Oaxaca,922,912,942,860,839,778,732,792,702,693,584,630,624,621
21 Puebla,Puebla,2310,2223,2109,1964,1805,1768,1766,1872,1651,1620,1477,1268,1384,1381
22 Querétaro,Queretaro,492,462,491,475,425,443,424,394,390,379,334,346,350,333
23 Quintana Roo,Quintana Roo,314,334,324,319,283,335,335,303,313,300,257,249,238,288
24 San Luis Potosí,San Luis Potosi,515,551,494,485,501,500,494,481,453,459,387,421,452,457
25 Sinaloa,Sinaloa,373,450,454,517,459,532,441,456,501,437,288,382,396,404
26 Sonora,Sonora,620,598,676,561,520,534,548,474,506,503,349,378,386,383
27 Tabasco,Tabasco,689,733,700,681,713,742,655,650,630,555,489,460,383,398
28 Tamaulipas,Tamaulipas,790,750,755,799,748,738,685,684,658,652,541,574,550,608
29 Tlaxcala,Tlaxcala,422,358,402,359,318,334,320,301,299,267,253,228,242,212
30 Veracruz de Ignacio de la Llave,Veracruz,1925,2007,1971,1983,1739,1778,1567,1571,1399,1378,1254,1167,1209,1156
31 Yucatán,Yucatan,418,402,457,394,368,458,354,411,373,321,340,279,297,288
32 Zacatecas,Zacatecas,399,302,349,348,348,360,304,302,292,275,243,242,215,221
