system:index,estado_code,estado_name,month,poblacion_afectada,year,.geo
0_00020000000000000098,2028,Aguascalientes,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00020000000000000099,2029,Baja California,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009a,2030,Baja California Sur,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009b,2031,Campeche,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009c,2032,Chiapas,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009d,2033,Chihuahua,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009e,2034,Coahuila,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009f,2035,Colima,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a0,2036,Distrito Federal,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a1,2037,Durango,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a2,2038,Guanajuato,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a3,2039,Guerrero,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a4,2040,Hidalgo,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a5,2041,Jalisco,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a6,2042,Mexico,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a7,2043,Michoacan,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a8,2044,Morelos,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a9,2045,Nayarit,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000aa,2046,Nuevo Leon,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ab,2047,Oaxaca,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ac,2048,Puebla,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ad,2049,Queretaro,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ae,2051,San Luis Potosi,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000af,2053,Sonora,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b0,2054,Tabasco,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b1,2055,Tamaulipas,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b2,2056,Tlaxcala,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b3,2057,Veracruz,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b4,2058,Yucatan,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b5,2059,Zacatecas,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000001b8,2050,Quintana Roo,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000001b9,2052,Sinaloa,1.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00020000000000000098,2028,Aguascalientes,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00020000000000000099,2029,Baja California,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009a,2030,Baja California Sur,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009b,2031,Campeche,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009c,2032,Chiapas,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009d,2033,Chihuahua,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009e,2034,Coahuila,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009f,2035,Colima,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a0,2036,Distrito Federal,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a1,2037,Durango,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a2,2038,Guanajuato,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a3,2039,Guerrero,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a4,2040,Hidalgo,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a5,2041,Jalisco,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a6,2042,Mexico,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a7,2043,Michoacan,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a8,2044,Morelos,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a9,2045,Nayarit,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000aa,2046,Nuevo Leon,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ab,2047,Oaxaca,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ac,2048,Puebla,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ad,2049,Queretaro,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ae,2051,San Luis Potosi,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000af,2053,Sonora,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b0,2054,Tabasco,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b1,2055,Tamaulipas,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b2,2056,Tlaxcala,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b3,2057,Veracruz,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b4,2058,Yucatan,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b5,2059,Zacatecas,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000001b8,2050,Quintana Roo,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000001b9,2052,Sinaloa,2.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00020000000000000098,2028,Aguascalientes,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00020000000000000099,2029,Baja California,3.0,2.6491095561053455,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009a,2030,Baja California Sur,3.0,33.453424254198794,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009b,2031,Campeche,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
